80,Dare,Ogunbowale,RB,TB,13
81,Frank,Gore,RB,NYJ,11
82,Mike,Boone,RB,MIN,7
83,Jalen,Richard,RB,LV,6
84,Patrick,Laird,RB,MIA,11
85,Qadree,Ollison,RB,ATL,10
1,Travis,Kelce,TE,KC,10
2,George,Kittle,TE,SF,11
3,Mark,Andrews,TE,BAL,8
4,Zach,Ertz,TE,PHI,9
5,Darren,Waller,TE,LV,6
6,Evan,Engram,TE,NYG,11
7,Tyler,Higbee,TE,LAR,9
8,Rob,Gronkowski,TE,TB,13
9,Hunter,Henry,TE,LAC,10
10,Jared,Cook,TE,NO,6
11,Noah,Fant,TE,DEN,8
12,T.J.,Hockenson,TE,DET,5
13,Hayden,Hurst,TE,ATL,10
14,Austin,Hooper,TE,CLE,9
15,Mike,Gesicki,TE,MIA,11
16,Chris,Herndon,TE,NYJ,11
17,Jack,Doyle,TE,IND,7
18,Eric,Ebron,TE,PIT,8
19,Dallas,Goedert,TE,PHI,9
20,Jonnu,Smith,TE,TEN,7
21,Blake,Jarwin,TE,DAL,10
22,Jace,Sternberger,TE,GB,5
23,Irv,Smith Jr.,TE,MIN,7
24,Jimmy,Graham,TE,CHI,11
25,Tyler,Eifert,TE,JAC,7
26,Dawson,Knox,TE,BUF,11
27,Greg,Olsen,TE,SEA,6
28,Taysom,Hill,TE,NO,6
29,Gerald,Everett,TE,LAR,9
30,Ian,Thomas,TE,CAR,13
31,Kyle,Rudolph,TE,MIN,7
32,O.J.,Howard,TE,TB,13
33,David,Njoku,TE,CLE,9
34,Dan,Arnold,TE,ARI,8
35,C.J.,Uzomah,TE,CIN,9
1,Michael,Thomas,WR,NO,6
2,Davante,Adams,WR,GB,5
3,DeAndre,Hopkins,WR,ARI,8
4,Julio,Jones,WR,ATL,10
5,Tyreek,Hill,WR,KC,10
6,Chris,Godwin,WR,TB,13
7,Mike,Evans,WR,TB,13
8,Kenny,Golladay,WR,DET,5
9,DJ,Moore,WR,CAR,13
10,Allen,Robinson II,WR,CHI,11
11,Adam,Thielen,WR,MIN,7
12,JuJu,Smith-Schuster,WR,PIT,8
13,Amari,Cooper,WR,DAL,10
14,Courtland,Sutton,WR,DEN,8
15,A.J.,Brown,WR,TEN,7
16,Odell,Beckham Jr.,WR,CLE,9
17,Calvin,Ridley,WR,ATL,10
18,Robert,Woods,WR,LAR,9
19,Tyler,Lockett,WR,SEA,6
20,Cooper,Kupp,WR,LAR,9
21,T.Y.,Hilton,WR,IND,7
22,Terry,McLaurin,WR,WAS,8
23,Keenan,Allen,WR,LAC,10
24,Jarvis,Landry,WR,CLE,9
25,DK,Metcalf,WR,SEA,6
26,DJ,Chark Jr.,WR,JAC,7
27,DeVante,Parker,WR,MIA,11
28,Stefon,Diggs,WR,BUF,11
29,A.J.,Green,WR,CIN,9
30,Michael,Gallup,WR,DAL,10
31,Tyler,Boyd,WR,CIN,9
32,Marquise,Brown,WR,BAL,8
33,Deebo,Samuel,WR,SF,11
34,Marvin,Jones Jr.,WR,DET,5
35,Will,Fuller V,WR,HOU,8
36,Julian,Edelman,WR,NE,6
37,Jamison,Crowder,WR,NYJ,11
38,Sterling,Shepard,WR,NYG,11
39,Diontae,Johnson,WR,PIT,8
40,Christian,Kirk,WR,ARI,8
41,Brandin,Cooks,WR,HOU,8
42,Henry,Ruggs III,WR,LV,6
43,Golden,Tate,WR,NYG,11
